Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.875,1.0,0.972,1239.3,2027.7,4979.9,0.1,0.8,258.6,635.1
Shaft 4,6.089,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.875,1.0,0.972,1138.9,1863.5,4380.4,0.1,0.8,237.7,558.7
Shaft 3,3.091,0.784,0.0,0.0,0.784,0.254,2.708,1.595,1.296,3.0,2.708,1.0,0.972,1045.4,975.0,2218.2,0.1,0.8,85.9,195.5
Shaft 2,4.87,1.019,0.0,0.0,1.019,0.209,2.891,1.681,1.307,3.0,2.891,1.0,0.972,965.6,1248.9,2814.5,0.1,0.8,103.8,233.9
Shaft 1,10.696,2.033,0.0,0.0,2.033,0.19,2.974,1.721,1.313,3.0,2.974,1.0,0.972,747.1,1983.4,4427.6,0.1,0.8,176.4,393.7
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.959,1.0,0.971,1239.3,2087.1,5120.1,0.1,0.8,258.6,634.5
Shaft 4,6.089,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.959,1.0,0.971,1138.9,1918.0,4503.9,0.1,0.8,237.7,558.1
Shaft 3,3.091,0.784,0.0,0.0,0.784,0.254,2.708,1.595,1.296,3.0,2.802,1.0,0.971,1045.4,1009.0,2293.2,0.1,0.8,85.9,195.3
Shaft 2,4.87,1.019,0.0,0.0,1.019,0.209,2.891,1.681,1.307,3.0,2.974,1.0,0.971,965.6,1284.9,2892.6,0.1,0.8,103.8,233.7
Shaft 1,10.696,2.033,0.0,0.0,2.033,0.19,2.974,1.721,1.313,3.0,3.056,1.0,0.971,747.1,2038.0,4544.8,0.1,0.8,176.4,393.3
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,3.128,1.0,0.969,1239.3,2205.7,5400.1,0.1,0.8,258.6,633.1
Shaft 4,6.089,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,3.128,1.0,0.969,1138.9,2027.1,4750.5,0.1,0.8,237.7,557.0
Shaft 3,3.091,0.784,0.0,0.0,0.784,0.254,2.708,1.595,1.296,3.0,2.991,1.0,0.969,1045.4,1077.0,2443.1,0.1,0.8,85.9,194.9
Shaft 2,4.87,1.019,0.0,0.0,1.019,0.209,2.891,1.681,1.307,3.0,3.14,1.0,0.969,965.6,1356.7,3048.4,0.1,0.8,103.8,233.2
Shaft 1,10.696,2.033,0.0,0.0,2.033,0.19,2.974,1.721,1.313,3.0,3.22,1.0,0.969,747.1,2147.1,4778.8,0.1,0.8,176.4,392.6
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,3.212,1.0,0.968,1239.3,2265.1,5539.9,0.1,0.8,258.6,632.5
