Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,0.94,1.334,2.274,0.227,2.452,1.439,1.084,1.0,1.231,1.0,0.951,1765.0,2739.3,5090.9,0.125,0.8,685.3,1273.6
Shaft 8,6.806,0.0,0.839,0.908,1.747,0.257,2.363,1.4,1.086,1.0,1.237,1.0,0.951,1732.4,2075.9,3793.6,0.125,0.8,457.6,836.3
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.951,1696.2,3049.9,5515.7,0.125,0.8,658.6,1191.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.951,1647.1,3297.6,5882.2,0.125,0.8,639.5,1140.7
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.951,1588.9,3518.3,6202.4,0.125,0.8,616.9,1087.5
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.951,1517.4,4522.4,7895.3,0.125,0.8,589.1,1028.5
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.951,1424.0,4601.5,7972.1,0.125,0.8,552.9,957.9
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.951,1287.4,4488.2,7733.3,0.125,0.8,499.8,861.2
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.951,1014.6,4154.9,7135.4,0.125,0.8,393.9,676.5
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,0.94,1.334,2.274,0.227,2.452,1.439,1.084,1.0,1.231,1.0,0.951,1765.0,2739.3,5090.9,0.125,0.8,685.3,1273.6
Shaft 8,6.806,0.0,0.839,0.908,1.747,0.257,2.363,1.4,1.086,1.0,1.237,1.0,0.951,1732.4,2075.9,3793.6,0.125,0.8,457.6,836.3
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.951,1696.2,3049.9,5515.7,0.125,0.8,658.6,1191.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.951,1647.1,3297.6,5882.2,0.125,0.8,639.5,1140.7
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.951,1588.9,3518.3,6202.4,0.125,0.8,616.9,1087.5
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.951,1517.4,4522.4,7895.3,0.125,0.8,589.1,1028.5
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.951,1424.0,4601.5,7972.1,0.125,0.8,552.9,957.9
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.951,1287.4,4488.2,7733.3,0.125,0.8,499.8,861.2
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.951,1014.6,4154.9,7135.4,0.125,0.8,393.9,676.5
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,0.94,1.334,2.274,0.227,2.452,1.439,1.084,1.0,1.231,1.0,0.951,1765.0,2739.3,5090.9,0.125,0.8,685.3,1273.6
Shaft 8,6.806,0.0,0.839,0.908,1.747,0.257,2.363,1.4,1.086,1.0,1.237,1.0,0.951,1732.4,2075.9,3793.6,0.125,0.8,457.6,836.3
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.951,1696.2,3049.9,5515.7,0.125,0.8,658.6,1191.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.951,1647.1,3297.6,5882.2,0.125,0.8,639.5,1140.7
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.951,1588.9,3518.3,6202.4,0.125,0.8,616.9,1087.5
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.951,1517.4,4522.4,7895.3,0.125,0.8,589.1,1028.5
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.951,1424.0,4601.5,7972.1,0.125,0.8,552.9,957.9
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.951,1287.4,4488.2,7733.3,0.125,0.8,499.8,861.2
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.951,1014.6,4154.9,7135.4,0.125,0.8,393.9,676.5
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,0.94,1.334,2.274,0.227,2.452,1.439,1.084,1.0,1.231,1.0,0.951,1765.0,2739.3,5090.9,0.125,0.8,685.3,1273.6
Shaft 8,6.806,0.0,0.839,0.908,1.747,0.257,2.363,1.4,1.086,1.0,1.237,1.0,0.951,1732.4,2075.9,3793.6,0.125,0.8,457.6,836.3
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.951,1696.2,3049.9,5515.7,0.125,0.8,658.6,1191.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.951,1647.1,3297.6,5882.2,0.125,0.8,639.5,1140.7
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.951,1588.9,3518.3,6202.4,0.125,0.8,616.9,1087.5
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.951,1517.4,4522.4,7895.3,0.125,0.8,589.1,1028.5
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.951,1424.0,4601.5,7972.1,0.125,0.8,552.9,957.9
