Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 60,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 75,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 90,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 105,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 120,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 135,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 150,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 165,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 180,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 195,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
Shaft 7,11.724,0.0,1.023,1.633,2.655,0.226,2.455,1.44,1.084,1.0,1.221,1.0,0.912,1397.3,1801.0,4436.6,0.125,0.8,388.9,958.0
Shaft 6,14.869,0.0,1.237,1.633,2.869,0.193,2.565,1.49,1.083,1.0,1.258,1.0,0.912,1330.0,1908.8,4617.0,0.125,0.8,370.2,895.3
Shaft 5,18.014,0.0,1.459,1.633,3.092,0.172,2.639,1.525,1.083,1.0,1.292,1.0,0.912,1251.0,1985.8,4728.0,0.125,0.8,348.2,829.0
Shaft 4,21.471,0.0,1.971,2.264,4.234,0.197,2.551,1.483,1.083,1.0,1.269,1.0,0.912,1154.8,2467.3,5798.2,0.125,0.8,321.4,755.3
Shaft 3,24.613,0.0,2.242,2.264,4.505,0.183,2.599,1.506,1.083,1.0,1.294,1.0,0.912,1030.9,2388.0,5554.4,0.125,0.8,286.9,667.4
Shaft 2,27.761,0.0,2.517,2.264,4.78,0.172,2.637,1.524,1.083,1.0,1.315,1.0,0.912,853.3,2132.6,4923.6,0.125,0.8,237.5,548.3
Shaft 1,31.054,0.0,3.055,2.561,5.616,0.181,2.607,1.51,1.083,1.0,1.315,1.0,0.912,673.3,1976.4,4542.7,0.125,0.8,187.4,430.7
Wind Load - 210,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,10.003,0.0,2.274,0.0,2.274,0.227,2.452,1.439,1.084,1.0,1.439,1.0,0.912,1492.1,1940.4,4955.9,0.125,0.8,415.3,1060.6
Shaft 8,6.806,0.0,1.747,0.0,1.747,0.257,2.363,1.4,1.086,1.0,1.4,1.0,0.912,1447.1,1406.8,3513.8,0.125,0.8,274.0,684.4
