Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.007,1.0,1.105,1390.4,2106.9,5285.5,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.991,1.0,1.105,1344.0,2033.5,5024.4,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.121,1.0,1.105,1291.1,2063.9,5038.8,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.131,1.0,1.105,1216.5,2406.3,5809.1,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.995,1.0,1.105,1108.3,2557.7,6106.0,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.957,1.0,1.105,946.2,2257.6,5347.4,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.831,1.0,1.105,648.5,1401.3,3304.4,0.362,0.8,417.3,984.0
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,1.105,1485.5,2550.3,6698.6,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,1.105,1438.5,2469.7,6330.9,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.101,1.0,1.105,1390.4,2172.3,5449.4,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,3.086,1.0,1.105,1344.0,2097.7,5183.1,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.206,1.0,1.105,1291.1,2119.9,5175.5,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.215,1.0,1.105,1216.5,2470.8,5964.8,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,3.089,1.0,1.105,1108.3,2638.2,6298.1,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,3.054,1.0,1.105,946.2,2331.6,5522.7,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.937,1.0,1.105,648.5,1453.6,3427.8,0.362,0.8,417.3,984.0
Wind Load - 60,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1485.5,2482.7,6521.0,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1438.5,2404.2,6163.1,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.007,1.0,1.105,1390.4,2106.9,5285.5,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.991,1.0,1.105,1344.0,2033.5,5024.4,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.121,1.0,1.105,1291.1,2063.9,5038.8,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.131,1.0,1.105,1216.5,2406.3,5809.1,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.995,1.0,1.105,1108.3,2557.7,6106.0,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.957,1.0,1.105,946.2,2257.6,5347.4,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.831,1.0,1.105,648.5,1401.3,3304.4,0.362,0.8,417.3,984.0
Wind Load - 75,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1485.5,2347.5,6165.8,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1438.5,2273.3,5827.4,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.821,1.0,1.105,1390.4,1976.2,4957.6,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.802,1.0,1.105,1344.0,1905.0,4707.0,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.952,1.0,1.105,1291.1,1951.9,4765.4,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.963,1.0,1.105,1216.5,2277.4,5497.8,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.807,1.0,1.105,1108.3,2396.8,5721.9,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.763,1.0,1.105,946.2,2109.5,4996.7,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.62,1.0,1.105,648.5,1296.7,3057.7,0.362,0.8,417.3,984.0
Wind Load - 90,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,1.105,1485.5,2279.9,5988.2,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,1.105,1438.5,2207.8,5659.5,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.727,1.0,1.105,1390.4,1910.8,4793.6,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.708,1.0,1.105,1344.0,1840.8,4548.4,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.867,1.0,1.105,1291.1,1896.0,4628.7,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.879,1.0,1.105,1216.5,2212.9,5342.1,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.712,1.0,1.105,1108.3,2316.4,5529.9,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.666,1.0,1.105,946.2,2035.5,4821.3,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.514,1.0,1.105,648.5,1244.4,2934.3,0.362,0.8,417.3,984.0
Wind Load - 105,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1485.5,2347.5,6165.8,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1438.5,2273.3,5827.4,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.821,1.0,1.105,1390.4,1976.2,4957.6,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.802,1.0,1.105,1344.0,1905.0,4707.0,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.952,1.0,1.105,1291.1,1951.9,4765.4,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.963,1.0,1.105,1216.5,2277.4,5497.8,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.807,1.0,1.105,1108.3,2396.8,5721.9,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.763,1.0,1.105,946.2,2109.5,4996.7,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.62,1.0,1.105,648.5,1296.7,3057.7,0.362,0.8,417.3,984.0
Wind Load - 120,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1485.5,2482.7,6521.0,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1438.5,2404.2,6163.1,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.007,1.0,1.105,1390.4,2106.9,5285.5,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.991,1.0,1.105,1344.0,2033.5,5024.4,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.121,1.0,1.105,1291.1,2063.9,5038.8,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.131,1.0,1.105,1216.5,2406.3,5809.1,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.995,1.0,1.105,1108.3,2557.7,6106.0,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.957,1.0,1.105,946.2,2257.6,5347.4,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.831,1.0,1.105,648.5,1401.3,3304.4,0.362,0.8,417.3,984.0
Wind Load - 135,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,1.105,1485.5,2550.3,6698.6,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,1.105,1438.5,2469.7,6330.9,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.101,1.0,1.105,1390.4,2172.3,5449.4,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,3.086,1.0,1.105,1344.0,2097.7,5183.1,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.206,1.0,1.105,1291.1,2119.9,5175.5,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.215,1.0,1.105,1216.5,2470.8,5964.8,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,3.089,1.0,1.105,1108.3,2638.2,6298.1,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,3.054,1.0,1.105,946.2,2331.6,5522.7,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.937,1.0,1.105,648.5,1453.6,3427.8,0.362,0.8,417.3,984.0
Wind Load - 150,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1485.5,2482.7,6521.0,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1438.5,2404.2,6163.1,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.007,1.0,1.105,1390.4,2106.9,5285.5,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.991,1.0,1.105,1344.0,2033.5,5024.4,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.121,1.0,1.105,1291.1,2063.9,5038.8,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.131,1.0,1.105,1216.5,2406.3,5809.1,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.995,1.0,1.105,1108.3,2557.7,6106.0,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.957,1.0,1.105,946.2,2257.6,5347.4,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.831,1.0,1.105,648.5,1401.3,3304.4,0.362,0.8,417.3,984.0
Wind Load - 165,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1485.5,2347.5,6165.8,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1438.5,2273.3,5827.4,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.821,1.0,1.105,1390.4,1976.2,4957.6,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.802,1.0,1.105,1344.0,1905.0,4707.0,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.952,1.0,1.105,1291.1,1951.9,4765.4,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.963,1.0,1.105,1216.5,2277.4,5497.8,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.807,1.0,1.105,1108.3,2396.8,5721.9,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.763,1.0,1.105,946.2,2109.5,4996.7,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.62,1.0,1.105,648.5,1296.7,3057.7,0.362,0.8,417.3,984.0
Wind Load - 180,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,1.105,1485.5,2279.9,5988.2,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,1.105,1438.5,2207.8,5659.5,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.727,1.0,1.105,1390.4,1910.8,4793.6,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.708,1.0,1.105,1344.0,1840.8,4548.4,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.867,1.0,1.105,1291.1,1896.0,4628.7,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.879,1.0,1.105,1216.5,2212.9,5342.1,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.712,1.0,1.105,1108.3,2316.4,5529.9,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.666,1.0,1.105,946.2,2035.5,4821.3,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.514,1.0,1.105,648.5,1244.4,2934.3,0.362,0.8,417.3,984.0
Wind Load - 195,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1485.5,2347.5,6165.8,0.123,0.8,409.6,1075.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.105,1438.5,2273.3,5827.4,0.122,0.8,396.6,1016.7
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.821,1.0,1.105,1390.4,1976.2,4957.6,0.122,0.8,306.7,769.4
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.802,1.0,1.105,1344.0,1905.0,4707.0,0.122,0.8,267.0,659.8
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.952,1.0,1.105,1291.1,1951.9,4765.4,0.136,0.8,311.6,760.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.963,1.0,1.105,1216.5,2277.4,5497.8,0.18,0.8,485.2,1171.3
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.807,1.0,1.105,1108.3,2396.8,5721.9,0.362,1.0,1114.3,2660.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.763,1.0,1.105,946.2,2109.5,4996.7,0.362,1.0,951.3,2253.3
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.62,1.0,1.105,648.5,1296.7,3057.7,0.362,0.8,417.3,984.0
Wind Load - 210,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.105,1485.5,2482.7,6521.0,0.123,0.8,409.6,1075.8
