Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,895.000,895.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,895.000,-895.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-895.000,-895.000,0.000,Tower Foundation
4,Tower Foundation Connection 4 - Shaft 1,-895.000,895.000,0.000,Tower Foundation
5,Connection Bracings 5 - Shaft 1,895.000,895.000,1400.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,895.000,-895.000,1400.000,Connection Bracer
7,Connection Bracings 7 - Shaft 1,-895.000,-895.000,1400.000,Connection Bracer
8,Connection Bracings 8 - Shaft 1,-895.000,895.000,1400.000,Connection Bracer
9,Connection Bracings 9 - Shaft 1,895.000,895.000,2800.000,Connection Bracer
10,Connection Bracings 10 - Shaft 1,895.000,-895.000,2800.000,Connection Bracer
11,Connection Bracings 11 - Shaft 1,-895.000,-895.000,2800.000,Connection Bracer
12,Connection Bracings 12 - Shaft 1,-895.000,895.000,2800.000,Connection Bracer
13,Connection Bracings 13 - Shaft 1,895.000,895.000,4200.000,Connection Bracer
14,Connection Bracings 14 - Shaft 1,895.000,-895.000,4200.000,Connection Bracer
15,Connection Bracings 15 - Shaft 1,-895.000,-895.000,4200.000,Connection Bracer
16,Connection Bracings 16 - Shaft 1,-895.000,895.000,4200.000,Connection Bracer
17,Connection Shaft 17 - Shaft 1,895.000,895.000,5600.000,Connection Shaft
18,Connection Shaft 18 - Shaft 1,895.000,-895.000,5600.000,Connection Shaft
19,Connection Shaft 19 - Shaft 1,-895.000,-895.000,5600.000,Connection Shaft
20,Connection Shaft 20 - Shaft 1,-895.000,895.000,5600.000,Connection Shaft
21,Connection Bracings 21 - Shaft 2,895.000,895.000,6875.000,Connection Bracer
22,Connection Bracings 22 - Shaft 2,895.000,-895.000,6875.000,Connection Bracer
23,Connection Bracings 23 - Shaft 2,-895.000,-895.000,6875.000,Connection Bracer
24,Connection Bracings 24 - Shaft 2,-895.000,895.000,6875.000,Connection Bracer
25,Connection Shaft 25 - Shaft 2,895.000,895.000,8150.000,Connection Shaft
26,Connection Shaft 26 - Shaft 2,895.000,-895.000,8150.000,Connection Shaft
27,Connection Shaft 27 - Shaft 2,-895.000,-895.000,8150.000,Connection Shaft
28,Connection Shaft 28 - Shaft 2,-895.000,895.000,8150.000,Connection Shaft
29,Connection Bracings 29 - Shaft 3,732.500,732.500,9125.000,Connection Bracer
30,Connection Bracings 30 - Shaft 3,732.500,-732.500,9125.000,Connection Bracer
31,Connection Bracings 31 - Shaft 3,-732.500,-732.500,9125.000,Connection Bracer
32,Connection Bracings 32 - Shaft 3,-732.500,732.500,9125.000,Connection Bracer
33,Connection Shaft 33 - Shaft 3,570.000,570.000,10100.000,Connection Shaft
34,Connection Shaft 34 - Shaft 3,570.000,-570.000,10100.000,Connection Shaft
35,Connection Shaft 35 - Shaft 3,-570.000,-570.000,10100.000,Connection Shaft
36,Connection Shaft 36 - Shaft 3,-570.000,570.000,10100.000,Connection Shaft
37,Connection Bracings 37 - Shaft 4,570.000,570.000,11337.500,Connection Bracer
38,Connection Bracings 38 - Shaft 4,570.000,-570.000,11337.500,Connection Bracer
39,Connection Bracings 39 - Shaft 4,-570.000,-570.000,11337.500,Connection Bracer
40,Connection Bracings 40 - Shaft 4,-570.000,570.000,11337.500,Connection Bracer
41,Connection Bracings 41 - Shaft 4,570.000,570.000,12575.000,Connection Bracer
42,Connection Bracings 42 - Shaft 4,570.000,-570.000,12575.000,Connection Bracer
43,Connection Bracings 43 - Shaft 4,-570.000,-570.000,12575.000,Connection Bracer
44,Connection Bracings 44 - Shaft 4,-570.000,570.000,12575.000,Connection Bracer
45,Connection Bracings 45 - Shaft 4,570.000,570.000,13812.500,Connection Bracer
46,Connection Bracings 46 - Shaft 4,570.000,-570.000,13812.500,Connection Bracer
47,Connection Bracings 47 - Shaft 4,-570.000,-570.000,13812.500,Connection Bracer
48,Connection Bracings 48 - Shaft 4,-570.000,570.000,13812.500,Connection Bracer
49,Connection Shaft 49 - Shaft 4,570.000,570.000,15050.000,Connection Shaft
50,Connection Shaft 50 - Shaft 4,570.000,-570.000,15050.000,Connection Shaft
51,Connection Shaft 51 - Shaft 4,-570.000,-570.000,15050.000,Connection Shaft
52,Connection Shaft 52 - Shaft 4,-570.000,570.000,15050.000,Connection Shaft
53,Connection Bracings 53 - Shaft 5,570.000,570.000,16287.500,Connection Bracer
54,Connection Bracings 54 - Shaft 5,570.000,-570.000,16287.500,Connection Bracer
55,Connection Bracings 55 - Shaft 5,-570.000,-570.000,16287.500,Connection Bracer
56,Connection Bracings 56 - Shaft 5,-570.000,570.000,16287.500,Connection Bracer
57,Connection Bracings 57 - Shaft 5,570.000,570.000,17525.000,Connection Bracer
58,Connection Bracings 58 - Shaft 5,570.000,-570.000,17525.000,Connection Bracer
59,Connection Bracings 59 - Shaft 5,-570.000,-570.000,17525.000,Connection Bracer
60,Connection Bracings 60 - Shaft 5,-570.000,570.000,17525.000,Connection Bracer
61,Connection Bracings 61 - Shaft 5,570.000,570.000,18762.500,Connection Bracer
62,Connection Bracings 62 - Shaft 5,570.000,-570.000,18762.500,Connection Bracer
63,Connection Bracings 63 - Shaft 5,-570.000,-570.000,18762.500,Connection Bracer
64,Connection Bracings 64 - Shaft 5,-570.000,570.000,18762.500,Connection Bracer
65,Connection Shaft 65 - Shaft 5,570.000,570.000,20000.000,Connection Shaft
66,Connection Shaft 66 - Shaft 5,570.000,-570.000,20000.000,Connection Shaft
67,Connection Shaft 67 - Shaft 5,-570.000,-570.000,20000.000,Connection Shaft
68,Connection Shaft 68 - Shaft 5,-570.000,570.000,20000.000,Connection Shaft

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,5,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
2,Leg 2 - Shaft 1,2,6,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
3,Leg 3 - Shaft 1,3,7,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
4,Leg 4 - Shaft 1,4,8,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
5,Leg 5 - Shaft 1,5,9,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
6,Leg 6 - Shaft 1,6,10,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
7,Leg 7 - Shaft 1,7,11,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
8,Leg 8 - Shaft 1,8,12,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
9,Leg 9 - Shaft 1,9,13,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
10,Leg 10 - Shaft 1,10,14,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
11,Leg 11 - Shaft 1,11,15,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
12,Leg 12 - Shaft 1,12,16,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
13,Leg 13 - Shaft 1,13,17,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
14,Leg 14 - Shaft 1,14,18,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
15,Leg 15 - Shaft 1,15,19,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
16,Leg 16 - Shaft 1,16,20,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
17,Diagonal Bar 17 - Shaft 1,1,6,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
18,Diagonal Bar 18 - Shaft 1,2,7,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
19,Diagonal Bar 19 - Shaft 1,3,8,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
20,Diagonal Bar 20 - Shaft 1,4,5,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
21,Diagonal Bar 21 - Shaft 1,6,9,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
22,Diagonal Bar 22 - Shaft 1,7,10,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
23,Diagonal Bar 23 - Shaft 1,8,11,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
24,Diagonal Bar 24 - Shaft 1,5,12,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
25,Diagonal Bar 25 - Shaft 1,9,14,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
26,Diagonal Bar 26 - Shaft 1,10,15,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
27,Diagonal Bar 27 - Shaft 1,11,16,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
28,Diagonal Bar 28 - Shaft 1,12,13,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
29,Diagonal Bar 29 - Shaft 1,14,17,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
30,Diagonal Bar 30 - Shaft 1,15,18,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
31,Diagonal Bar 31 - Shaft 1,16,19,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
32,Diagonal Bar 32 - Shaft 1,13,20,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
33,Horizontal Bar 33 - Shaft 1,17,18,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
34,Horizontal Bar 34 - Shaft 1,18,19,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
35,Horizontal Bar 35 - Shaft 1,19,20,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
36,Horizontal Bar 36 - Shaft 1,20,17,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
37,External Manual Bar 37 - Shaft 1,11,10,Manual Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
38,External Manual Bar 38 - Shaft 1,10,9,Manual Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
39,External Manual Bar 39 - Shaft 1,9,12,Manual Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
40,External Manual Bar 40 - Shaft 1,12,11,Manual Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
41,Leg 41 - Shaft 2,17,21,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
42,Leg 42 - Shaft 2,18,22,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
43,Leg 43 - Shaft 2,19,23,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
44,Leg 44 - Shaft 2,20,24,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
45,Leg 45 - Shaft 2,21,25,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
46,Leg 46 - Shaft 2,22,26,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
47,Leg 47 - Shaft 2,23,27,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
48,Leg 48 - Shaft 2,24,28,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
